Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-01 09:15:00+05:30,2050.0,2052.89990234375,2043.199951171875,2046.300048828125,0,0.0,0.0
2025-10-01 09:16:00+05:30,2046.5999755859375,2048.60009765625,2041.0,2041.800048828125,41517,0.0,0.0
2025-10-01 09:17:00+05:30,2041.800048828125,2054.699951171875,2041.800048828125,2054.199951171875,36780,0.0,0.0
2025-10-01 09:18:00+05:30,2054.60009765625,2058.0,2053.300048828125,2055.699951171875,34066,0.0,0.0
2025-10-01 09:19:00+05:30,2055.699951171875,2056.10009765625,2050.10009765625,2051.0,29698,0.0,0.0
2025-10-01 09:20:00+05:30,2050.89990234375,2052.0,2050.0,2050.199951171875,15305,0.0,0.0
2025-10-01 09:21:00+05:30,2050.39990234375,2051.0,2047.199951171875,2051.0,18797,0.0,0.0
2025-10-01 09:22:00+05:30,2051.300048828125,2051.300048828125,2047.300048828125,2049.0,12018,0.0,0.0
2025-10-01 09:23:00+05:30,2045.4000244140625,2048.0,2045.199951171875,2046.9000244140625,19799,0.0,0.0
2025-10-01 09:24:00+05:30,2047.199951171875,2049.5,2045.699951171875,2046.0,11046,0.0,0.0
2025-10-01 09:25:00+05:30,2047.4000244140625,2048.0,2043.0,2043.0,18247,0.0,0.0
2025-10-01 09:26:00+05:30,2043.0,2043.0,2038.0999755859375,2038.5999755859375,45242,0.0,0.0
2025-10-01 09:27:00+05:30,2038.0,2041.5999755859375,2038.0,2040.300048828125,19319,0.0,0.0
2025-10-01 09:28:00+05:30,2040.300048828125,2046.4000244140625,2040.300048828125,2046.0,13969,0.0,0.0
2025-10-01 09:29:00+05:30,2045.699951171875,2052.0,2044.199951171875,2051.300048828125,22216,0.0,0.0
2025-10-01 09:30:00+05:30,2051.800048828125,2056.300048828125,2050.0,2055.0,24388,0.0,0.0
2025-10-01 09:31:00+05:30,2055.0,2056.800048828125,2052.39990234375,2055.699951171875,23647,0.0,0.0
2025-10-01 09:32:00+05:30,2055.89990234375,2057.89990234375,2055.10009765625,2057.0,19958,0.0,0.0
2025-10-01 09:33:00+05:30,2057.0,2061.5,2057.0,2058.0,28083,0.0,0.0
2025-10-01 09:34:00+05:30,2057.89990234375,2058.5,2053.800048828125,2053.800048828125,13078,0.0,0.0
2025-10-01 09:35:00+05:30,2053.800048828125,2058.89990234375,2053.199951171875,2057.60009765625,24257,0.0,0.0
2025-10-01 09:36:00+05:30,2057.60009765625,2061.5,2056.89990234375,2061.5,18012,0.0,0.0
2025-10-01 09:37:00+05:30,2062.0,2064.0,2057.0,2057.800048828125,23766,0.0,0.0
2025-10-01 09:38:00+05:30,2057.10009765625,2058.0,2056.300048828125,2056.5,12050,0.0,0.0
2025-10-01 09:39:00+05:30,2056.5,2058.0,2056.39990234375,2056.60009765625,5341,0.0,0.0
2025-10-01 09:40:00+05:30,2056.89990234375,2057.60009765625,2056.0,2057.39990234375,5744,0.0,0.0
2025-10-01 09:41:00+05:30,2057.39990234375,2059.5,2057.0,2058.5,8106,0.0,0.0
2025-10-01 09:42:00+05:30,2058.699951171875,2059.5,2055.5,2057.5,12074,0.0,0.0
2025-10-01 09:43:00+05:30,2056.800048828125,2057.0,2055.0,2056.39990234375,11843,0.0,0.0
2025-10-01 09:44:00+05:30,2057.0,2059.300048828125,2056.39990234375,2058.89990234375,6478,0.0,0.0
2025-10-01 09:45:00+05:30,2059.10009765625,2063.39990234375,2059.10009765625,2060.0,22890,0.0,0.0
2025-10-01 09:46:00+05:30,2060.300048828125,2061.0,2058.0,2060.300048828125,10359,0.0,0.0
2025-10-01 09:47:00+05:30,2060.39990234375,2061.89990234375,2060.0,2061.199951171875,5971,0.0,0.0
2025-10-01 09:48:00+05:30,2061.199951171875,2063.199951171875,2061.199951171875,2063.199951171875,15790,0.0,0.0
2025-10-01 09:49:00+05:30,2062.39990234375,2063.5,2060.60009765625,2061.5,11998,0.0,0.0
2025-10-01 09:50:00+05:30,2060.699951171875,2061.5,2056.0,2056.300048828125,14248,0.0,0.0
2025-10-01 09:51:00+05:30,2056.39990234375,2058.800048828125,2055.0,2058.0,19694,0.0,0.0
2025-10-01 09:52:00+05:30,2057.5,2058.5,2055.0,2055.0,5761,0.0,0.0
2025-10-01 09:53:00+05:30,2055.699951171875,2056.300048828125,2053.699951171875,2054.10009765625,12084,0.0,0.0
2025-10-01 09:54:00+05:30,2054.0,2057.0,2052.699951171875,2057.0,12472,0.0,0.0
2025-10-01 09:55:00+05:30,2057.0,2058.0,2056.300048828125,2057.89990234375,6826,0.0,0.0
2025-10-01 09:56:00+05:30,2057.60009765625,2059.10009765625,2057.0,2059.10009765625,7163,0.0,0.0
