Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-20 00:00:00+05:30,141.0,145.6999969482422,130.25,131.5800018310547,46908688,0.0,0.0
2025-08-21 00:00:00+05:30,132.8000030517578,137.39999389648438,126.0,126.80999755859375,11779468,0.0,0.0
2025-08-22 00:00:00+05:30,127.68000030517578,129.6999969482422,123.0999984741211,124.08000183105469,5443113,0.0,0.0
2025-08-25 00:00:00+05:30,125.0999984741211,125.87999725341797,118.61000061035156,119.69999694824219,4588197,0.0,0.0
2025-08-26 00:00:00+05:30,118.5,119.19999694824219,110.38999938964844,112.29000091552734,5155197,0.0,0.0
2025-08-27 00:00:00+05:30,112.29000091552734,112.29000091552734,112.29000091552734,112.29000091552734,0,0.0,0.0
2025-08-28 00:00:00+05:30,113.19999694824219,118.0,108.72000122070312,115.62999725341797,7082344,0.0,0.0
2025-08-29 00:00:00+05:30,117.0,119.33999633789062,112.30999755859375,114.01000213623047,2251904,0.0,0.0
2025-09-01 00:00:00+05:30,114.69999694824219,114.94999694824219,110.0199966430664,110.83999633789062,1723306,0.0,0.0
2025-09-02 00:00:00+05:30,111.4000015258789,112.8499984741211,109.51000213623047,109.97000122070312,1570655,0.0,0.0
2025-09-03 00:00:00+05:30,109.95999908447266,111.77999877929688,108.0199966430664,110.19000244140625,2053989,0.0,0.0
2025-09-04 00:00:00+05:30,111.5,112.13999938964844,107.5199966430664,108.13999938964844,1007662,0.0,0.0
2025-09-05 00:00:00+05:30,108.58999633789062,108.70999908447266,104.9800033569336,105.47000122070312,1358325,0.0,0.0
2025-09-08 00:00:00+05:30,105.88999938964844,113.75,104.5,110.58000183105469,3260561,0.0,0.0
2025-09-09 00:00:00+05:30,111.4000015258789,112.0999984741211,107.51000213623047,109.5199966430664,1736330,0.0,0.0
2025-09-10 00:00:00+05:30,108.5,109.01000213623047,106.0,106.80000305175781,1580168,0.0,0.0
2025-09-11 00:00:00+05:30,106.9000015258789,111.87999725341797,106.4800033569336,107.5,1916326,0.0,0.0
2025-09-12 00:00:00+05:30,107.51000213623047,109.0,106.3499984741211,106.70999908447266,814650,0.0,0.0
2025-09-15 00:00:00+05:30,107.25,107.66000366210938,106.0,106.19000244140625,893142,0.0,0.0
2025-09-16 00:00:00+05:30,106.5,107.29000091552734,105.5999984741211,105.91999816894531,860496,0.0,0.0
2025-09-17 00:00:00+05:30,105.30000305175781,106.47000122070312,104.20999908447266,104.76000213623047,1506095,0.0,0.0
2025-09-18 00:00:00+05:30,105.0,105.69999694824219,102.1500015258789,103.1500015258789,1045201,0.0,0.0
2025-09-19 00:00:00+05:30,103.0999984741211,105.5,102.5,104.30000305175781,1302146,0.0,0.0
2025-09-22 00:00:00+05:30,105.0999984741211,106.0,101.55000305175781,102.69999694824219,1109343,0.0,0.0
2025-09-23 00:00:00+05:30,102.94000244140625,103.48999786376953,99.43000030517578,99.93000030517578,968270,0.0,0.0
2025-09-24 00:00:00+05:30,100.0,100.51000213623047,95.19999694824219,96.1500015258789,2035681,0.0,0.0
2025-09-25 00:00:00+05:30,96.19999694824219,96.55000305175781,92.01000213623047,92.58000183105469,1188052,0.0,0.0
2025-09-26 00:00:00+05:30,92.58000183105469,93.0,89.0,89.69999694824219,1414918,0.0,0.0
2025-09-29 00:00:00+05:30,90.0,91.0,87.61000061035156,88.91000366210938,1123611,0.0,0.0
2025-09-30 00:00:00+05:30,89.05000305175781,89.91000366210938,87.52999877929688,88.18000030517578,694686,0.0,0.0
2025-10-01 00:00:00+05:30,88.30000305175781,94.4000015258789,88.04000091552734,93.72000122070312,1289766,0.0,0.0
